#{"t_start": 1697674191.667181, "env_id": "LunarLander-v2"}
r,l,t
22.575195,85,1036.56506
-119.290419,379,1036.824134
-89.856288,117,1036.85095
221.556636,234,1036.926854
-104.214137,404,1038.34389
33.432862,1000,1040.024374
-20.44988,1000,1041.30945
163.845404,815,1042.356726
5.818503,110,1042.378454
-245.255336,549,1042.828748
-169.427785,174,1042.877868
-58.55119,422,1043.25927
-203.585574,820,1044.060311
-238.012633,183,1044.109273
-100.084072,340,1044.273374
-131.923978,380,1044.415967
124.625115,376,1044.665804
-146.394738,351,1044.836909
2.777792,131,1044.864728
-184.174316,465,1138.511662
-20.55534,1000,1140.490629
-160.428767,169,1140.538697
-246.464418,358,1140.837032
-131.552917,77,1140.849976
-361.799906,740,1141.914818
-76.372968,695,1142.440197
-64.454704,76,1142.451804
-341.906021,578,2208.486913
-38.36757,270,2208.62884
-129.043468,188,2208.682353
-69.521411,94,2208.700197
-55.421556,84,2208.716626
-210.155827,196,2208.774081
-82.667092,62,2208.785443
-42.196493,1000,2212.751021
-94.719516,362,2212.958623
-203.30035,604,2763.698387
-176.963905,697,2764.593988
-102.19442,144,2764.62881
-67.225822,1000,2765.718904
49.781289,127,2765.743165
-198.276259,784,2766.42702
-169.829383,241,2766.526294
2.871941,67,2766.537952
-222.654275,157,2766.573953
-266.641635,145,2766.605612
-72.965463,595,2767.421451
-107.165967,132,2767.454106
-288.097327,140,2767.48877
-328.480949,208,2768.641265
6.353592,121,2768.663238
-94.49374,1000,2769.514376
-268.372455,180,2769.565087
-161.968712,117,2769.590114
-25.707572,103,2769.60769
-143.753935,544,2770.130304
-54.413788,1000,2772.379482
-225.750673,130,2772.410563
-104.924829,610,2772.905554
7.615083,85,2772.921414
-277.132779,80,2772.935114
-119.941584,91,2772.949223
34.164178,71,2772.96194
-335.179967,209,2773.023547
-95.776913,76,2777.957163
14.889726,104,2777.974789
-108.278127,127,2778.003881
-3.435088,94,2778.021471
10.021233,141,2778.049519
-86.225993,1000,2779.2449
-268.571212,779,2779.926679
-77.191505,62,2779.936931
-154.326351,129,2779.965892
-70.340952,65,2779.975941
-72.429958,63,2779.985473
-75.310809,85,2780.000561
39.67043,102,2780.018271
-87.797203,90,2780.032563
-212.401843,516,2780.432107
-126.488799,131,3246.506871
-67.720871,81,3246.519462
-167.548528,117,3246.544546
-146.749957,71,3246.555279
-120.151477,84,3246.56991
28.581679,153,3246.609129
-122.916256,97,3246.625834
-106.765312,77,3246.637983
-18.202083,1000,3247.596862
-71.806801,104,3247.618562
-136.303968,109,3247.639698
-163.470472,90,3247.654385
-203.991855,95,3247.674047
-18.977039,127,3247.702768
-77.423231,89,3247.720209
-124.111177,84,3250.594973
-89.994457,99,3250.610445
-235.211267,84,3250.622695
-294.785454,757,3251.26666
-127.970819,114,3251.286981
-60.417157,116,3251.313385
-80.013175,61,3251.323136
-100.438369,111,3251.348884
-59.893208,70,3251.361164
-117.164543,60,3251.370493
-65.103382,108,3251.395188
-72.604434,109,3251.418
-98.02801,95,3251.436685
-113.174763,98,3251.452125
-232.999372,656,3251.862223
-121.347513,89,3255.677728
-92.160011,85,3255.69161
-47.500651,122,3255.72182
-82.03219,91,3255.737833
-74.655427,121,3255.763384
-5.548707,111,3255.783791
44.871347,102,3255.803936
-229.014786,467,3256.117068
-94.720406,111,3256.141325
-56.451458,94,3256.157347
-36.062452,80,3256.170569
-85.609989,79,3256.181658
-11.936274,91,3256.198451
-167.039607,73,3256.209399
-35.409885,97,3256.22781
-8.449332,155,3260.184439
-49.102128,98,3260.202243
-62.288312,72,3260.214889
-218.014543,549,3260.596796
-47.301823,115,3260.620081
-171.258793,176,3260.669173
-10.142697,98,3260.686861
-83.256163,79,3260.698671
-125.690025,71,3260.710107
-86.496517,99,3260.725654
-241.934253,413,3260.98937
-92.158693,99,3261.007544
-230.030073,307,3261.138348
-65.367344,86,3261.153302
-25.312773,108,3261.171657
169.649207,564,3264.758681
-205.669473,141,3264.792424
-181.230252,197,3264.860627
34.063633,1000,3286.487923
-176.696003,91,3286.503053
-28.829201,173,3286.551921
-89.010825,84,3286.567995
-264.034119,99,3286.583431
-202.758103,289,3286.698126
-184.787016,763,3287.321876
-98.034088,70,3287.333399
-178.17507,264,3287.458163
-245.707028,129,3287.488731
-153.540778,87,3287.502847
-174.152542,101,3287.523003
109.296198,751,3291.137733
-5.368513,127,3291.164498
11.011563,158,3291.205162
-214.599333,356,3291.42177
-137.961112,79,3291.434755
-3.533762,183,3291.478202
-146.924029,332,3291.664631
-16.045237,87,3291.682487
-217.696831,216,3291.760984
-211.575058,636,3292.229387
-18.321301,194,3292.291702
-230.110519,495,3292.680947
-158.54096,86,3292.692999
223.29967,621,3293.087092
-212.38563,466,3293.450738
8.890209,77,3295.858669
-229.426947,113,3295.883103
41.355075,200,3295.936762
-151.298376,82,3295.950486
-69.928504,82,3295.965955
-394.822615,430,3296.336554
-134.699953,132,3296.369814
-321.859909,657,3301.288877
-147.459729,108,3301.309204
-137.296602,97,3301.327406
223.525137,509,3301.75918
-50.617782,104,3301.779752
-95.372549,392,3302.162222
-122.459847,159,3302.204521
198.493876,697,3303.154927
-116.104797,95,3307.25503
-201.504852,448,3307.569499
-224.308314,176,3307.626031
29.364799,107,3307.645384
-91.990626,81,3307.657988
-96.408926,103,3307.679448
-189.461238,91,3307.695204
34.788818,1000,3312.124995
-87.047107,113,3312.146073
-170.869451,437,3312.391456
-123.362776,287,3312.516602
-62.401314,81,3312.530935
2.769694,1000,3314.019596
-193.116182,290,3314.128945
154.221796,660,3314.791397
-152.648691,134,3317.568558
-144.144148,206,3317.633643
-49.719186,101,3317.653427
-156.015439,98,3317.672091
-143.930583,88,3317.684753
-88.232971,111,3317.70382
-142.863593,299,3317.826348
-85.171028,86,3317.841831
-230.520757,114,3317.862864
-177.008612,350,3318.040083
-103.822172,94,3318.054588
-92.217172,167,3318.093925
-96.648573,71,3320.770235
-71.35181,104,3320.803302
-254.24094,132,3320.840074
-26.204189,92,3324.241957
-140.283227,117,3324.266722
-48.119988,138,3324.295407
-142.218747,731,3324.776624
-82.161339,91,3324.793833
-83.158952,83,3324.810792
-134.010718,104,3324.828911
-68.251145,139,3324.857893
-133.138001,105,3324.874515
-246.662368,886,3326.140741
-74.35165,97,3326.160262
-98.158182,149,3326.195572
-133.312941,64,3326.208009
-105.687226,160,3326.247438
-206.771674,245,3326.318082
-164.477804,82,3329.273687
-92.047649,1000,3334.252732
-111.797804,99,3334.273601
-182.387612,320,3334.450925
-131.074788,181,3334.497641
-44.548411,94,3334.517477
201.828028,380,3334.730243
-183.089387,533,3335.147155
-183.163868,109,3335.166596
-171.40744,96,3335.184245
-156.656098,158,3335.222726
-288.295297,898,3336.251727
-150.919933,77,3336.264492
-152.847591,81,3336.279217
-31.179563,85,3336.296632
-144.585582,120,3338.229129
-17.245555,149,3338.257644
-205.935817,108,3338.274816
-82.976013,1000,3339.701647
-204.182548,433,3340.010887
-154.503823,93,3340.028329
199.221901,493,3340.439372
-90.086263,114,3340.460094
-86.661987,142,3340.489529
-98.369194,80,3340.503911
-61.027681,83,3340.518871
-129.215493,86,3340.534807
-202.226987,212,3340.602472
-316.096885,248,3340.688201
-70.205046,131,3340.716982
-65.72652,115,3341.907786
-75.554845,698,3342.69785
-41.450238,266,3342.815302
-4.829245,126,3342.839709
-125.374489,111,3342.864734
-173.647366,97,3342.88049
-13.165989,76,3342.894877
-173.73212,217,3342.96833
-141.856966,100,3342.986416
-110.797118,266,3343.080341
-43.505747,79,3343.093334
-44.855673,104,3343.112027
-165.516908,69,3343.124015
-45.917243,91,3343.139456
-41.110174,1000,3344.529813
-179.924512,174,3350.853579
-167.437342,76,3350.865966
-66.156127,89,3350.880927
-9.522468,127,3350.907828
-45.512017,134,3350.933819
-137.123117,62,3350.943697
-126.276437,133,3350.974546
-214.986878,435,3351.244335
30.09277,154,3351.286435
-17.666608,133,3351.317114
-70.017494,120,3351.34179
-143.07033,201,3351.39898
-105.29339,55,3351.408461
-141.421249,74,3351.421404
-137.132059,128,3351.451034
-119.610662,93,3405.702753
-93.592411,141,3405.733902
-116.270224,74,3405.746091
-119.955955,835,3406.779412
-119.749283,1000,3408.291404
-50.845522,158,3408.332945
-101.400931,80,3408.347205
-146.663037,180,3408.395931
-186.732337,1000,3409.427887
25.8235,77,3409.442163
-51.964272,125,3409.467834
-58.73805,1000,3410.987134
-98.486387,1000,3413.698284
-175.613179,421,3413.995737
-133.160654,73,3414.009283
-83.847496,59,3417.747939
-92.593812,183,3417.796965
-140.94408,67,3417.809353
-68.528924,1000,3419.788828
-180.933135,75,3419.801491
-113.56845,76,3419.814731
-34.547832,138,3419.847588
-114.281335,70,3419.860923
-36.12504,122,3419.886489
-1.477189,263,3420.012396
-191.267665,223,3420.094393
-104.484409,58,3420.104574
