#{"t_start": 1697684642.142205, "env_id": "LunarLander-v2"}
r,l,t
-71.825922,123,10372.030302
293.41654,190,10372.091497
265.774435,180,10372.137818
227.896419,465,10372.537255
-25.965387,1000,10374.221373
276.942129,228,10374.306681
8.96435,152,10374.337659
9.567491,125,10374.361962
-55.074993,246,10374.440287
272.093246,375,10374.652833
-74.890542,283,10374.787026
288.999701,268,10374.912282
144.428702,692,11111.750436
253.568077,374,11111.921786
-9.523968,1000,11113.506886
-160.500614,606,11114.218879
247.578432,460,11114.723964
211.855581,318,11114.923713
38.600429,1000,11116.32286
-27.513035,196,11116.388633
206.972028,380,11116.692768
-34.269373,1000,11120.750696
243.903886,362,11120.95659
229.780705,371,11121.221193
174.066586,687,11122.364179
206.081628,558,11122.74123
237.419899,470,11123.143239
235.264383,400,11124.675737
172.476085,658,11578.190742
240.572319,463,11578.6668
9.840273,1000,11581.108696
214.414993,518,11581.574767
291.282774,826,11582.130773
256.314751,233,11582.205206
-48.585982,237,11582.299672
281.273315,295,11582.464187
239.628102,357,11582.731896
-245.350198,686,11583.411575
216.915071,356,11583.674958
211.266678,307,11583.909011
266.096997,358,11584.090545
-252.455129,351,11584.31925
273.569751,377,12610.814186
268.745076,228,12610.930753
-104.167465,165,12610.973602
240.207176,375,12611.246552
176.440802,405,12611.549891
206.280136,379,12611.817398
222.100243,386,12612.063488
290.146089,333,13580.137411
239.65633,404,13580.488833
254.340506,292,13580.613743
-65.132897,141,13580.645955
277.561907,208,13580.728647
258.619838,235,13580.817829
245.723474,279,13580.982312
267.905537,362,13581.267322
264.995357,283,13584.778244
261.932287,318,13584.951414
260.364131,399,14627.084145
209.440707,374,14627.334528
230.03279,445,14627.710491
-36.879162,318,14627.91459
253.404193,320,14628.130075
247.242966,380,14628.40255
-81.634271,149,14628.443585
260.152575,242,14628.552895
258.805672,592,14629.194302
234.799932,267,14629.336347
253.942013,257,14629.483248
270.455878,227,14629.578218
254.499321,339,14629.804949
-2.110914,424,15565.536716
271.347647,309,15565.750117
251.87685,193,15565.825237
-45.789527,226,15565.892568
-41.901252,373,15566.109735
267.080507,311,15566.312277
-97.475256,382,15566.648262
50.944766,241,15566.754475
279.46421,236,15566.866891
-16.380861,200,15566.94518
254.960827,417,15567.20544
-108.182392,267,15567.312252
-10.213146,367,15567.553345
-77.228786,256,15567.675983
243.09752,463,15568.04813
-81.924048,180,16485.560356
279.251632,227,16485.655568
266.701386,314,16485.859572
159.407335,353,16486.000995
208.340711,413,16486.340364
203.585443,436,16486.615851
262.906689,293,16486.766707
241.598048,729,16488.041044
211.783833,446,17520.35098
258.780428,247,17520.486108
-15.916839,401,17520.8566
271.294395,307,17521.02688
-71.229915,377,17521.273252
209.10469,424,17521.690517
-20.345429,240,17521.814282
275.994966,213,17523.823334
-53.639611,362,17524.084704
200.708583,466,17524.405779
-92.59089,227,17524.507492
164.847078,436,17525.045084
-39.437118,259,18476.096667
-98.60753,371,18476.37397
238.650329,477,18476.890837
-18.948125,293,18476.996857
263.31481,446,18477.195179
-35.675821,214,18477.288824
-64.752359,375,18477.536446
263.193222,428,18477.755143
230.826309,425,18478.121685
196.722988,344,18478.321905
-156.457539,208,19276.232834
-100.5676,252,19276.318616
249.693417,455,19276.675417
267.857787,536,19277.087132
251.526633,221,19277.193564
206.397012,301,19277.349468
227.928434,738,19278.683358
203.949306,273,19278.816272
239.490442,218,19278.896617
241.810401,503,19279.183654
232.672392,331,19279.399071
-214.444052,137,19279.434821
224.973525,458,19279.745692
-266.539039,182,19279.789383
197.50983,273,19279.977618
-78.481703,171,19281.650321
237.43889,262,19281.819
254.998295,207,19281.900501
241.65101,517,20231.347653
293.031576,320,20231.47474
231.978789,228,20231.563371
244.348693,282,20231.729479
-82.925819,151,20231.763369
276.002267,354,20232.014666
207.02856,547,20232.639883
237.430529,353,20232.905407
249.859704,239,20233.030693
234.627317,490,20233.536985
54.740026,107,20233.565088
250.682451,232,20233.67745
281.758819,410,21224.565666
271.650323,351,21224.755364
210.511987,388,21224.999398
282.973427,221,21225.102345
166.229926,515,21225.481324
-4.699745,168,21225.525539
192.432393,699,21284.940432
-54.294941,142,21284.977653
180.081177,307,21285.14058
204.938212,274,21285.292927
229.417777,253,21285.423078
236.357714,783,21286.217211
226.023723,379,21286.496052
257.394183,461,21287.032802
200.014888,746,21287.937726
187.836787,360,22251.349482
237.658873,294,22251.473302
190.873151,347,22251.708594
293.903345,348,22251.938503
205.431408,401,22252.217151
-21.741436,255,22252.311298
249.994955,246,22252.42567
239.25913,978,22253.342192
258.582946,585,22253.873219
227.559808,938,22254.888795
244.098904,369,22391.044078
211.4452,424,22391.350629
243.250832,331,22391.52241
234.76803,369,22391.768964
254.773535,395,22392.091152
266.988965,300,22393.492528
209.261028,483,22393.77529
215.10086,680,22394.339273
262.821141,407,22394.59417
182.756856,312,22394.787668
184.562987,561,22395.270555
256.441129,405,22395.496876
201.265272,526,22396.029577
254.028029,417,22396.348207
243.817502,575,22396.726282
259.927565,307,22396.909757
258.207331,429,22397.301263
-18.863682,210,22397.35745
190.530196,370,22397.563824
-11.531345,261,22397.654133
243.715345,292,22403.010462
215.721522,303,22403.185623
133.413154,1000,22404.81363
212.673818,472,22405.182663
260.989829,990,22406.198545
236.203468,314,22406.37832
205.996897,443,22406.660262
221.598102,720,22407.270032
241.084411,771,22610.954355
237.543844,959,22612.061716
256.434545,779,22613.019749
197.253422,334,22613.254806
142.835216,1000,22614.880224
96.162672,1000,22615.8204
109.037531,1000,22616.93266
178.08763,516,23222.011796
227.167052,322,23222.152987
260.75283,383,23222.368934
223.689434,298,23222.509844
226.405426,865,23223.183447
191.231306,326,23223.376985
196.454152,577,23223.870228
30.454507,313,23224.030561
237.901967,289,23224.200335
237.691982,329,23224.358903
223.754295,362,23224.573486
279.143317,372,23224.742365
118.515964,1000,23225.665453
229.506473,428,23226.091817
234.272605,926,23226.983199
211.123803,753,23233.602333
243.216285,993,23234.879827
228.599471,349,23235.11503
250.579459,392,23235.396881
225.776361,416,23235.741941
231.458604,388,23235.88967
213.391334,458,23516.887677
259.625941,353,23517.185884
255.286069,767,23518.071684
254.79951,702,23518.702694
282.931549,355,23518.91321
228.713012,675,23519.640909
278.002869,309,23519.804299
132.300098,1000,23520.765269
259.648196,337,23520.983312
275.934819,880,23709.422158
179.823532,453,23709.833837
219.81092,453,23710.209441
218.664695,341,23710.420477
253.780262,688,23711.067949
228.900083,749,23711.685682
225.471628,673,23712.471434
157.143071,989,23714.078877
267.637185,600,23714.755916
194.34282,453,23715.198599
205.953809,410,23715.543974
248.497489,642,23716.173988
180.923261,834,24123.339722
212.78394,492,24123.613212
173.518663,375,24123.821998
194.489072,293,24124.774376
207.60363,501,24125.210773
207.420798,749,24125.822814
252.335748,345,24126.02151
228.058051,323,24126.182609
206.160373,662,24126.943493
