#{"t_start": 1697720412.5152571, "env_id": "LunarLander-v2"}
r,l,t
-114.987853,188,448.264941
-242.146781,601,448.929615
-93.654429,709,449.555277
-156.208522,1000,451.878045
-206.654484,111,457.519086
-106.668997,1000,459.057147
-46.526814,1000,460.694308
-178.104436,653,461.478342
-202.788368,1000,462.757262
-182.974616,120,462.787874
-120.239827,740,463.96229
-153.420191,1000,465.707444
-57.108955,1000,467.027408
-48.607703,1000,469.316299
-111.915629,1000,470.50687
-192.532688,866,471.560001
-257.102087,990,473.312376
-218.934577,105,473.337965
-65.327316,1000,474.766863
-225.139951,557,481.490747
-315.262985,869,483.282525
-183.013286,377,483.580256
-154.621995,363,483.838452
-218.631275,570,484.49806
-192.296321,605,485.022622
-249.479386,661,485.964952
-226.621638,936,486.942836
-121.657743,1000,488.2365
-161.462825,252,488.355133
-149.531701,1000,490.96979
-165.84066,497,491.484671
-142.080645,1000,492.68405
-221.032673,507,493.19696
-247.6911,741,494.141906
-61.277191,342,500.489945
-318.824198,892,501.671628
-75.76742,1000,503.18624
-89.580635,1000,505.732189
-130.143055,1000,508.846104
-74.805713,1000,510.454316
-160.236886,1000,512.285424
-94.075516,1000,513.709004
-100.542204,1000,515.027631
-81.560736,1000,516.664475
-117.038232,1000,518.950764
-111.52386,1000,521.549762
-357.597484,999,523.001889
-77.713295,1000,525.371801
-171.924888,604,525.928503
-275.758877,795,533.701774
-129.391648,410,533.979446
-70.130678,1000,536.073817
-102.411973,1000,537.761691
-116.539677,205,537.838759
-133.033281,1000,538.886609
-170.779302,1000,540.466269
-181.140908,1000,542.926067
-164.791139,1000,546.236079
-194.96511,1000,547.329863
-93.750383,1000,549.094715
-305.323203,790,550.218423
-196.960023,1000,552.031864
-63.199799,682,552.812664
-218.399419,499,553.10748
-168.988286,695,560.300527
-126.462582,346,560.47494
-52.87457,1000,561.726365
-131.463226,1000,562.884769
-207.197759,1000,565.106065
-120.610126,1000,567.771393
-93.078046,1000,569.235258
-170.71792,655,570.080881
-153.36232,1000,571.884507
-91.33332,1000,573.657724
-133.77531,1000,576.16088
-122.888038,1000,578.043169
-111.868745,1000,579.651722
-161.451477,1000,581.552567
-107.875012,1000,583.899799
-121.074528,1000,592.905958
56.719235,168,592.95746
-117.089519,1000,594.716018
-171.403629,1000,596.366848
-138.844824,1000,598.419014
2.509483,149,598.458755
-127.739084,213,598.526837
-86.292863,1000,600.771012
-122.305553,1000,602.031843
-195.696454,1000,604.463643
-180.291456,1000,606.160646
-18.664563,168,606.208209
-110.632414,205,606.283052
-119.130331,1000,608.407244
-90.020498,1000,610.984669
-109.720491,379,617.013969
-103.006256,1000,618.492952
-116.603372,1000,620.134177
-109.576872,1000,622.558546
-155.887977,1000,624.11283
-173.386772,1000,625.273834
-70.122134,250,625.391153
-209.634865,1000,627.285318
-161.936423,125,627.31432
-96.631354,223,627.417414
-128.889398,1000,628.974012
-155.010979,1000,630.891859
-161.389306,1000,632.537941
-77.519384,1000,634.187903
-122.384465,1000,637.026883
-23.266596,199,644.353757
-63.689011,511,644.915743
-58.370422,130,644.946598
-74.764138,365,645.283429
-55.485713,1000,646.829039
-91.998236,723,647.54671
-125.992963,1000,649.610344
-65.311624,339,649.788288
-71.301982,522,650.084504
-101.12819,223,650.170655
-186.14326,734,651.1364
-56.337095,122,651.168621
-93.266353,489,651.706678
-68.785943,128,651.736696
-18.81858,470,652.152015
-91.083116,201,657.987603
-108.3111,527,658.308123
-162.670711,482,658.781749
188.519321,617,659.453509
-41.466606,156,659.50055
-93.388431,172,659.562038
-78.542163,1000,661.955379
-140.20637,769,663.194187
-234.529172,860,664.275973
-125.631068,496,664.752496
-134.014769,474,665.177937
-54.19853,223,665.278645
-176.362624,752,666.710633
-94.189713,246,666.840117
-129.143087,376,667.147639
-102.851972,195,673.919417
-96.362616,505,674.464401
-145.273214,1000,675.810781
16.270182,198,675.875651
-61.401514,140,675.912093
-64.517594,156,675.949937
-73.046853,214,676.038159
-134.437871,523,676.456879
-112.226164,620,677.31446
-111.015877,1000,679.476309
-91.20941,447,679.883357
-158.524973,750,680.645971
-134.804644,485,681.084364
-125.221752,1000,683.182462
-92.102344,197,683.263219
-154.27264,518,689.47211
-77.902357,113,689.498569
-21.720907,1000,690.792306
-20.103259,640,691.728299
-65.124445,642,692.422575
0.979104,403,692.749296
-24.970096,157,692.793684
-96.077986,389,693.069174
